Ano,Furto,Roubo,Furto_Roubo_Veiculo,Homicidio_Doloso
2016,183350,159557,82830,844
2017,193686,152606,74981,713
2018,201798,136589,67255,672
2019,226566,141134,58560,650
2020,164444,127513,41000,659
2021,187785,128589,47987,561
2022,235449,142921,58093,560
2023,250825,133324,55502,481
2024,241369,115172,54943,481
2025,250168,98358,48571,501
